JoiningYear,City,PaymentTier,Age,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Female,Male,Bachelors,Masters,PHD
2012,Pune,3,28,0,4,0,0,1,1,0,0
2013,New Delhi,3,30,0,2,0,1,0,1,1,1
2016,Pune,3,40,0,4,0,0,1,1,0,0
2014,New Delhi,3,37,0,3,0,0,1,1,0,0
2015,Pune,3,28,1,2,0,1,0,1,1,0
2015,Bangalore,1,24,0,2,0,0,1,1,0,0
2013,New Delhi,3,28,0,2,0,0,1,1,1,0
2016,Pune,3,28,0,5,0,0,1,1,0,0
2013,New Delhi,3,29,0,2,0,1,0,1,0,0
2014,Bangalore,3,29,0,4,0,0,1,1,0,0
2013,Bangalore,3,33,0,3,0,0,1,1,0,0
2017,Bangalore,3,26,0,4,0,1,0,1,0,0
2014,Bangalore,3,28,0,1,0,0,1,1,0,0
2016,New Delhi,3,26,0,4,0,1,0,1,0,0
2015,Bangalore,3,29,0,5,0,0,1,1,0,0
2017,Pune,3,33,0,4,0,0,1,1,0,0
2015,Pune,3,32,0,0,0,0,1,1,0,0
2014,New Delhi,3,33,0,4,0,1,0,1,0,0
2012,Bangalore,3,30,0,1,0,1,0,1,0,0
2012,New Delhi,3,37,0,4,0,0,1,1,1,0
2012,Bangalore,3,40,1,2,0,0,1,1,0,0
2017,Pune,2,39,0,2,0,1,0,1,1,0
2017,New Delhi,1,40,0,5,0,0,1,1,1,0
2015,Pune,3,35,1,5,0,0,1,1,0,0
2017,Pune,2,29,0,2,0,0,1,1,1,0
2017,New Delhi,2,35,0,2,0,1,0,1,1,0
2017,New Delhi,3,28,0,3,0,1,0,1,1,0
2014,Pune,3,30,0,2,0,0,1,1,1,0
2015,New Delhi,3,34,0,4,0,1,0,1,1,1
2017,New Delhi,2,37,0,2,0,0,1,1,1,0
2016,Bangalore,3,39,0,5,0,1,0,1,0,0
2016,Pune,3,31,0,4,0,1,0,1,1,1
2016,Bangalore,3,31,1,5,0,0,1,1,0,0
2012,Bangalore,3,28,1,2,0,0,1,1,0,0
2014,New Delhi,3,28,0,5,0,0,1,1,1,0
2012,Pune,3,28,0,5,0,0,1,1,0,0
2013,Bangalore,3,30,0,5,0,1,0,1,0,0
2013,Pune,3,25,0,3,0,1,0,1,0,0
2014,Pune,3,37,0,1,0,0,1,1,0,0
2015,Pune,3,28,0,2,0,0,1,1,0,0
2015,New Delhi,3,37,0,4,0,0,1,1,0,0
2012,Bangalore,3,41,1,0,0,0,1,1,0,0
2014,Bangalore,3,37,0,4,0,0,1,1,0,0
2017,New Delhi,3,24,0,2,0,0,1,1,1,1
2018,Bangalore,1,27,0,5,0,0,1,1,0,0
2012,Bangalore,3,38,0,3,0,0,1,1,0,0
2017,Bangalore,3,28,0,2,0,0,1,1,0,0
2014,Bangalore,3,38,0,3,0,0,1,1,0,0
2012,Bangalore,1,34,0,0,0,0,1,1,0,0
2012,Pune,3,27,0,5,0,0,1,1,1,0
2017,Pune,3,33,1,5,0,0,1,1,0,0
2013,Pune,3,33,0,4,0,0,1,1,0,0
2012,Bangalore,3,28,0,2,0,0,1,1,0,0
2014,Pune,3,40,0,5,0,0,1,1,0,0
2014,New Delhi,3,32,0,5,0,1,0,1,1,0
2012,New Delhi,3,34,0,4,0,1,0,1,0,0
2017,Pune,3,25,0,3,0,0,1,1,1,0
2013,Bangalore,3,37,0,1,0,1,0,1,0,0
2017,Bangalore,3,31,0,4,0,0,1,1,1,0
2014,Bangalore,3,36,1,3,0,0,1,1,0,0
2014,Bangalore,3,35,0,2,0,1,0,1,0,0
2015,Bangalore,3,34,0,5,0,0,1,1,0,0
2015,New Delhi,1,29,0,2,0,0,1,1,1,1
2012,Pune,3,30,0,1,0,0,1,1,1,0
2014,New Delhi,3,38,0,2,0,1,0,1,0,0
2013,Bangalore,3,33,0,2,0,0,1,1,0,0
2016,Bangalore,3,30,0,1,0,0,1,1,0,0
2017,New Delhi,2,39,0,0,0,1,0,1,0,0
2016,Bangalore,3,29,0,1,0,0,1,1,0,0
2013,Bangalore,3,25,0,3,0,0,1,1,0,0
2014,Pune,3,39,0,2,0,0,1,1,1,0
2012,Bangalore,3,32,0,5,0,0,1,1,0,0
2013,Pune,3,37,0,2,0,0,1,1,1,0
2013,Bangalore,3,32,0,0,0,0,1,1,0,0
2015,Bangalore,3,29,0,1,0,1,0,1,1,1
2017,New Delhi,2,39,0,4,0,1,0,1,1,0
2015,Bangalore,3,23,0,1,0,0,1,1,0,0
2015,New Delhi,3,29,1,1,0,1,0,1,0,0
2012,New Delhi,3,24,0,2,0,1,0,1,0,0
2016,Bangalore,3,38,0,4,0,0,1,1,0,0
2015,Bangalore,3,40,0,4,0,0,1,1,0,0
2017,Bangalore,3,32,0,4,0,0,1,1,0,0
2014,Bangalore,3,30,0,1,0,1,0,1,0,0
2012,Bangalore,3,30,0,4,0,1,0,1,1,1
2015,Bangalore,3,28,0,3,0,1,0,1,0,0
2014,Bangalore,3,29,0,2,0,0,1,1,0,0
2015,Pune,2,41,0,7,0,1,0,1,0,0
2016,Bangalore,3,27,0,5,0,0,1,1,0,0
